value = (*
	The class A2I provides integer-to-string and string-to-integer
	conversion routines.  To use these routines, either inherit them
	in the class where needed, have a dummy variable bound to
	something of type A2I, or simpl write (new A2I).method(argument).
*), type = TokenType.COMMENT
value = (*
	c2i   Converts a 1-character string to an integer.  Aborts
	if the string is not "0" through "9"
*), type = TokenType.COMMENT
value = class, type = TokenType.CLASS
value = A2I, type = TokenType.TYPE
value = {, type = TokenType.LEFT_CURLY_BRACE
value = c2i, type = TokenType.ID
value = (, type = TokenType.LEFT_PARENTHESIS
value = char, type = TokenType.ID
value = :, type = TokenType.COLON
value = String, type = TokenType.TYPE
value = ), type = TokenType.RIGHT_PARENTHESIS
value = :, type = TokenType.COLON
value = Int, type = TokenType.TYPE
value = {, type = TokenType.LEFT_CURLY_BRACE
value = if, type = TokenType.IF
value = char, type = TokenType.ID
value = =, type = TokenType.EQUAL
value = "0", type = TokenType.STRING
value = then, type = TokenType.THEN
value = 0, type = TokenType.INTEGER
value = else, type = TokenType.ELSE
value = if, type = TokenType.IF
value = char, type = TokenType.ID
value = =, type = TokenType.EQUAL
value = "1", type = TokenType.STRING
value = then, type = TokenType.THEN
value = 1, type = TokenType.INTEGER
value = else, type = TokenType.ELSE
value = if, type = TokenType.IF
value = char, type = TokenType.ID
value = =, type = TokenType.EQUAL
value = "2", type = TokenType.STRING
value = then, type = TokenType.THEN
value = 2, type = TokenType.INTEGER
value = else, type = TokenType.ELSE
value = if, type = TokenType.IF
value = char, type = TokenType.ID
value = =, type = TokenType.EQUAL
value = "3", type = TokenType.STRING
value = then, type = TokenType.THEN
value = 3, type = TokenType.INTEGER
value = else, type = TokenType.ELSE
value = if, type = TokenType.IF
value = char, type = TokenType.ID
value = =, type = TokenType.EQUAL
value = "4", type = TokenType.STRING
value = then, type = TokenType.THEN
value = 4, type = TokenType.INTEGER
value = else, type = TokenType.ELSE
value = if, type = TokenType.IF
value = char, type = TokenType.ID
value = =, type = TokenType.EQUAL
value = "5", type = TokenType.STRING
value = then, type = TokenType.THEN
value = 5, type = TokenType.INTEGER
value = else, type = TokenType.ELSE
value = if, type = TokenType.IF
value = char, type = TokenType.ID
value = =, type = TokenType.EQUAL
value = "6", type = TokenType.STRING
value = then, type = TokenType.THEN
value = 6, type = TokenType.INTEGER
value = else, type = TokenType.ELSE
value = if, type = TokenType.IF
value = char, type = TokenType.ID
value = =, type = TokenType.EQUAL
value = "7", type = TokenType.STRING
value = then, type = TokenType.THEN
value = 7, type = TokenType.INTEGER
value = else, type = TokenType.ELSE
value = if, type = TokenType.IF
value = char, type = TokenType.ID
value = =, type = TokenType.EQUAL
value = "8", type = TokenType.STRING
value = then, type = TokenType.THEN
value = 8, type = TokenType.INTEGER
value = else, type = TokenType.ELSE
value = if, type = TokenType.IF
value = char, type = TokenType.ID
value = =, type = TokenType.EQUAL
value = "9", type = TokenType.STRING
value = then, type = TokenType.THEN
value = 9, type = TokenType.INTEGER
value = else, type = TokenType.ELSE
value = {, type = TokenType.LEFT_CURLY_BRACE
value = abort, type = TokenType.ID
value = (, type = TokenType.LEFT_PARENTHESIS
value = ), type = TokenType.RIGHT_PARENTHESIS
value = ;, type = TokenType.SEMI_COLON
value = 0, type = TokenType.INTEGER
value = ;, type = TokenType.SEMI_COLON
value = }, type = TokenType.RIGHT_CURLY_BRACE
